Parameter,Level I,Level II,Level III,Level IV
Peak Current (kA),200,150,100,100
Striking Distance rs (m),316,269,216,216
Rolling Sphere Radius (m),20,30,45,60
Mesh Dimension (m),5×5,10×10,15×15,20×20
Down Conductor Spacing (m),10,15,20,25
Protection Angle (°),25-30,35-45,45-55,55-60
Max Mesh Height Above Structure (m),5,7.5,10,15
Standard Test Current (10/350 μs) kA,200,150,100,100
Subsequent Stroke (0.25/100 μs) kA,50,37.5,25,25
Charge per Event (C),300-400,225-300,150-200,150-200
Typical Application,"Strategic facilities, monuments, power stations","Government buildings, hospitals, fire stations","Educational buildings, commercial, industrial","Rural structures, farm buildings"
Annual Lightning Frequency / Building (events/yr),0.1-0.5,0.05-0.2,0.02-0.1,0.01-0.05
Risk Category,Very High,High,Normal,Low
