Parameter,Type 1,Type 2,Type 3
Installation Location,"Service entrance, main panel","Load side of disconnects, panels",Outlet and equipment level
Rated Current In (A),12.5k-100k,20k-40k,5k-20k
Test Current (8/20 μs),Direct connect,"8/20 μs, 20 kA","8/20 μs, 10 kA"
Impulse Current (10/350 μs),"10/350 μs, 10-12.5 kA",10/350 μs capable,Limited capability
Combined Wave Test,"1.2/50 μs (6 kV), 8/20 μs","1.2/50 μs (6 kV), 8/20 μs",Basic
Operating Voltage UC (V),230/400V 3-phase,"230/400V, 1-3 phase","230/400V, single phase"
Voltage Protection Level Up (V),2-4,1.5-2.5,0.8-1.5
Response Time (ns),<50,<200,<500
Energy Absorption (kJ),2.5-10,1-5,0.5-2
Max Temperature Rise (°C),50-80,40-60,30-50
Primary Application,Building main protection,"Secondary protection, distribution",Final protection at load
Connection Method,Connected to SPD circuits,Panelboard mounted,Close to equipment
Coordination Type,Type 1 only,Type 1+Type 2,Type 2+Type 3
Cost Range (USD),"1,500-5,000","500-2,000",100-500
Typical Lifespan (years),10-15,15-20,10-15
